Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2022-04-25,S003,P0016,Groceries ,West,220,87.0,30,101.74,25.45,20,Sunny,1,21.68,Winter
25/08/2023,S005,P0020,TOYS,East,101,54.0,180,52.94,60.98,20,Snowy,1,62.44,Spring
2022-04-20,S003,P0008,Furniture,North,85,,182,50.17,81.21,15,Snowy,1,77.45,Winter
2023-07-22,S005,P0002,Furniture,East,485,197.0,94,209.13,76.94,10,Snowy,1,77.53,Summer
2022-02-24,S005,P0012,Clothing,South,282,136.0,92,155.3,84.55,0,Cloudy,1,79.84,Summer
2022-01-25,S005,P0015,Groceries ,North,464,,182,181.15,80.33,20,Snowy,1,75.98,Spring
2024-01-01,S002,P0018,Groceries ,East,151,30.0,147,33.33,32.84,10,Snowy,1,36.35,Spring
2023-04-06,S001,P0002, electronics ,North,500,47.0,169,56.11,19.01,0,Rainy,1,16.09,Winter
2023-07-30,S003,P0019,Groceries ,South,320,88.0,29,94.32,92.8,10,Rainy,1,95.99,Summer
2023-06-16,S004,P0001,TOYS,North,295,175.0,187,173.53,17.57,5,Rainy,1,13.05,Summer
2022-05-12,S002,P0003,Furniture,East,182,99.0,39,98.13,53.42,5,Rainy,0,57.65,Summer
2022-12-19,S004,P0004,Furniture,West,261,79.0,72,71.2,45.93,10,Snowy,0,50.81,Summer
2022-12-20,S005,P0018,Clothing,South,147,69.0,148,79.59,,10,Cloudy,1,57.6,Spring
2023-09-06,S002,P0017,Furniture,North,430,132.0,146,145.34,42.29,20,Snowy,1,40.54,Summer
2022-01-05,S005,P0005,TOYS,West,299,79.0,117,97.08,49.08,5,Rainy,0,45.5,Spring
2023-01-14,S003,P0015, electronics ,East,319,285.0,100,294.14,22.92,5,Rainy,1,18.32,Autumn
2022-04-02,S002,P0016, electronics ,North,164,21.0,184,25.82,85.6,10,Cloudy,1,86.35,Winter
2023-05-30,S003,P0008,TOYS,West,336,33.0,168,51.33,39.59,10,Sunny,0,37.77,Spring
2022-01-11,S005,P0011,Furniture,North,183,117.0,148,135.3,86.62,15,Snowy,0,89.33,Autumn
2023-04-09,S003,P0012,Furniture,East,248,25.0,52,30.17,69.31,20,Cloudy,0,66.99,Spring
2022-05-23,S004,P0017,Clothing,South,122,28.0,53,21.91,48.24,15,Snowy,0,46.17,Spring
2022-05-04,S003,P0018, electronics ,South,188,66.0,36,65.06,56.89,10,Cloudy,1,58.54,Summer
2022-04-15,S003,P0006, electronics ,East,439,422.0,27,430.61,89.94,20,Rainy,1,90.98,Autumn
2023-03-04,S001,P0016, electronics ,East,340,142.0,33,153.73,78.48,5,Cloudy,1,82.17,Summer
2023-02-06,S002,P0016, electronics ,West,414,295.0,168,296.74,83.87,15,Cloudy,0,82.28,Summer
16/05/2022,S003,P0003, electronics ,North,-150,370.0,81,383.64,89.37,15,Snowy,0,89.44,Winter
2023-12-28,S004,P0007,Furniture,North,460,337.0,27,353.54,74.51,0,Cloudy,0,79.14,Autumn
2022-03-31,S001,P0010,Furniture,South,343,25.0,91,27.03,80.1,20,Cloudy,0,80.02,Summer
2023-04-26,S001,P0019,Furniture,South,289,258.0,25,267.03,16.81,5,Sunny,0,17.42,Spring
2022-01-17,S005,P0017,Groceries ,South,325,173.0,93,172.69,82.4,15,Sunny,1,83.36,Autumn
2023-09-04,S001,P0004, electronics ,South,302,283.0,118,293.42,69.63,10,Cloudy,1,71.94,Spring
2022-04-07,S002,P0015,Groceries ,West,442,189.0,86,205.51,55.14,10,Sunny,0,56.2,Summer
2023-04-18,S003,P0001, electronics ,South,499,35.0,20,45.28,86.22,15,Cloudy,0,83.45,Winter
2022-07-07,S001,P0017,Clothing,West,224,,131,158.35,-99.99,15,Cloudy,0,80.98,Summer
2022-09-06,S002,P0006,Furniture,North,446,306.0,82,325.08,46.53,0,Cloudy,0,44.42,Spring
2023-11-28,S001,P0002,Groceries ,South,250,,56,56.45,64.76,15,Sunny,0,66.15,Winter
2023-07-29,S005,P0003,TOYS,South,248,184.0,29,193.0,12.02,15,Cloudy,1,12.14,Winter
2023-11-01,S005,P0014,Groceries ,North,184,118.0,152,128.68,29.07,5,Sunny,1,34.0,Summer
2022-12-29,S002,P0004,Groceries ,East,144,59.0,49,72.6,46.65,5,Rainy,1,47.72,Autumn
2023-04-10,S001,P0017,Clothing,South,362,82.0,50,95.73,85.77,10,Snowy,1,88.18,Autumn
2022-12-17,S005,P0020, electronics ,West,299,103.0,81,103.76,96.49,20,Rainy,0,100.42,Spring
2022-09-21,S001,P0011, electronics ,North,438,117.0,39,116.59,60.99,0,Cloudy,0,57.14,Summer
2023-06-13,S004,P0002,Clothing,West,499,314.0,53,313.31,19.19,0,Rainy,0,21.8,Summer
2023-11-01,S003,P0006,Groceries ,North,492,,124,265.51,49.22,20,Sunny,1,50.16,Autumn
2023-06-26,S003,P0011, electronics ,South,133,,115,57.07,98.25,20,Snowy,1,100.12,Winter
2022-02-20,S003,P0009,TOYS,West,237,120.0,103,118.4,56.33,20,Sunny,1,52.66,Summer
2022-03-10,S002,P0018,TOYS,South,273,68.0,122,62.4,66.42,15,Rainy,1,61.66,Summer
2023-08-05,S003,P0007, electronics ,North,352,222.0,198,234.31,99.53,0,Sunny,0,95.76,Summer
2022-12-26,S002,P0003,TOYS,North,312,263.0,125,276.77,58.71,10,Snowy,1,55.9,Summer
2023-06-16,S003,P0011,Furniture,East,417,382.0,93,396.68,96.71,15,Snowy,1,100.34,Autumn
2023-12-14,S002,P0015,Furniture,North,290,67.0,186,85.89,20.69,20,Cloudy,0,20.13,Autumn
2022-04-28,S003,P0012,Furniture,North,329,,123,105.58,65.46,20,Snowy,1,64.22,Winter
2023-09-08,S001,P0001, electronics ,East,51,25.0,89,31.97,70.26,0,Rainy,1,70.01,Summer
2023-09-07,S004,P0007,Furniture,West,55,12.0,78,14.96,44.06,0,Rainy,1,42.68,Autumn
2022-08-28,S005,P0007,Clothing,East,301,101.0,200,113.94,13.95,20,Cloudy,0,10.03,Summer
2023-03-26,S005,P0002,Furniture,North,406,220.0,83,212.0,99.99,20,Rainy,0,97.16,Spring
2022-12-30,S001,P0014,Groceries ,South,457,456.0,177,461.15,95.5,0,Cloudy,0,100.25,Spring
2023-08-17,S005,P0009,Clothing,North,172,64.0,82,77.98,97.62,0,Sunny,0,94.27,Winter
2022-06-03,S005,P0020,Groceries ,South,345,243.0,74,247.41,55.82,5,Snowy,1,50.87,Summer
2023-10-23,S003,P0008,Clothing,East,367,77.0,113,68.08,29.47,0,Cloudy,0,32.08,Autumn
2023-10-13,S001,P0020,Groceries ,West,58,38.0,84,53.27,32.44,5,Sunny,1,29.59,Spring
2022-09-13,S001,P0007,TOYS,West,420,120.0,180,120.94,11.2,20,Rainy,1,12.93,Autumn
2022-10-26,S001,P0020, electronics ,North,152,48.0,128,44.85,34.39,15,Snowy,1,35.56,Summer
2023-03-14,S001,P0004,Clothing,West,134,88.0,151,99.03,95.1,5,Cloudy,1,94.93,Winter
13/02/2023,S002,P0011,Furniture,East,444,420.0,56,436.94,32.88,10,Sunny,1,34.65,Autumn
2023-04-12,S003,P0018, electronics ,North,179,134.0,199,143.96,66.44,5,Rainy,0,63.31,Autumn
2023-09-08,S002,P0020,Furniture,North,100,34.0,88,31.5,90.72,10,Rainy,1,87.28,Spring
2023-05-06,S004,P0005,TOYS,East,386,333.0,149,327.1,84.38,20,Rainy,0,88.5,Summer
2023-02-21,S005,P0017,Groceries ,North,349,86.0,33,80.94,50.34,20,Cloudy,0,45.54,Autumn
2022-08-12,S004,P0013, electronics ,West,500,127.0,97,117.05,11.67,0,Rainy,1,15.14,Winter
2023-05-01,S004,P0018,Furniture,North,400,184.0,89,197.65,71.1,0,Snowy,0,68.04,Spring
2023-05-07,S002,P0013,Clothing,West,141,108.0,93,125.2,71.32,10,Rainy,0,72.05,Autumn
2022-09-06,S004,P0017,Groceries ,South,391,144.0,176,152.0,17.37,20,Sunny,1,18.39,Summer
2023-09-28,S003,P0019, electronics ,North,409,217.0,124,229.28,15.55,20,Snowy,1,16.68,Winter
2022-03-13,S004,P0008,TOYS,West,413,235.0,67,252.88,32.65,10,Sunny,0,31.86,Winter
2023-11-10,S003,P0009,Furniture,West,281,61.0,68,72.85,16.59,15,Rainy,1,18.27,Spring
2023-01-01,S005,P0006,Groceries ,North,64,63.0,162,68.26,33.61,15,Rainy,1,36.77,Summer
2023-08-14,S003,P0012,Clothing,East,169,76.0,53,87.22,30.71,10,Snowy,1,30.44,Autumn
2023-05-23,S003,P0001,Clothing,North,327,69.0,135,81.13,19.42,0,Rainy,1,17.09,Summer
2022-11-08,S004,P0007,Clothing,West,339,83.0,100,80.58,59.09,10,Snowy,1,61.03,Autumn
2022-03-01,S001,P0005,Clothing,North,442,97.0,125,95.35,42.75,15,Rainy,1,40.68,Summer
2022-12-29,S004,P0006,Groceries ,North,367,11.0,131,9.08,58.48,5,Cloudy,0,55.04,Summer
2022-07-19,S002,P0008,TOYS,South,65,12.0,62,24.5,38.46,10,Rainy,1,36.85,Summer
2022-05-12,S002,P0007,Clothing,North,483,394.0,153,409.1,,0,Rainy,1,36.11,Spring
2023-05-03,S003,P0018,TOYS,South,201,48.0,106,51.52,15.08,5,Rainy,0,18.4,Winter
2022-10-19,S001,P0003,Groceries ,North,182,58.0,84,71.7,66.46,15,Cloudy,0,65.53,Summer
2023-08-28,S002,P0008, electronics ,East,379,358.0,153,376.09,46.39,20,Cloudy,1,43.81,Spring
2022-01-02,S001,P0015, electronics ,East,246,198.0,67,203.23,28.06,20,Cloudy,1,30.29,Winter
2023-11-29,S001,P0015,Furniture,South,471,107.0,64,111.23,90.72,20,Rainy,1,88.76,Summer
2022-04-18,S001,P0014,TOYS,South,385,52.0,81,52.32,51.96,0,Rainy,1,54.11,Autumn
2023-02-15,S003,P0005, electronics ,East,118,16.0,82,7.11,63.01,5,Sunny,1,65.29,Summer
06/09/2023,S003,P0012,TOYS,West,299,254.0,198,260.18,42.09,5,Snowy,1,44.69,Spring
2023-06-06,S004,P0017, electronics ,South,496,473.0,161,479.71,49.54,5,Sunny,1,54.21,Summer
2022-04-20,S003,P0019, electronics ,South,305,233.0,22,248.7,65.44,15,Rainy,1,66.55,Winter
2023-05-02,S005,P0001,TOYS,South,399,200.0,132,191.14,84.89,20,Rainy,1,86.14,Winter
2023-02-04,S005,P0009,Furniture,North,209,52.0,65,48.37,94.06,5,Rainy,1,98.58,Winter
2023-12-08,S004,P0014,TOYS,East,234,23.0,190,19.02,30.28,20,Sunny,1,30.96,Summer
2023-06-21,S002,P0008,TOYS,West,409,0.0,179,-6.96,10.24,0,Cloudy,1,9.92,Spring
2022-06-21,S004,P0009,Clothing,West,111,50.0,191,66.31,56.86,10,Rainy,0,52.64,Summer
2022-02-07,S005,P0020,Furniture,North,183,175.0,190,177.54,95.38,5,Rainy,0,97.77,Winter
2023-06-19,S001,P0016, electronics ,South,328,,134,175.12,55.86,20,Rainy,0,54.66,Winter
2023-05-16,S005,P0003,Groceries ,South,277,62.0,173,61.82,36.48,20,Cloudy,1,32.8,Summer
2022-05-05,S002,P0012, electronics ,West,298,241.0,60,235.91,39.71,5,Sunny,1,43.33,Spring
2023-03-29,S005,P0005,Clothing,West,51,21.0,52,21.9,23.34,10,Snowy,1,26.6,Autumn
2022-08-20,S004,P0007,Groceries ,West,110,85.0,38,77.75,67.56,15,Snowy,1,62.76,Summer
2022-10-16,S003,P0017, electronics ,East,313,124.0,158,142.25,37.97,15,Cloudy,1,33.89,Winter
2023-09-13,S005,P0011,TOYS,West,310,,123,64.25,54.94,15,Sunny,1,56.09,Winter
2023-05-28,S003,P0008,Furniture,South,183,133.0,50,124.52,78.51,15,Rainy,0,80.88,Summer
2023-01-25,S005,P0017,TOYS,West,275,261.0,41,279.39,64.43,20,Cloudy,0,68.63,Winter
2023-06-03,S002,P0007,Groceries ,North,302,7.0,107,7.79,64.62,20,Cloudy,1,67.01,Autumn
2022-11-22,S001,P0010,Clothing,East,206,50.0,121,40.04,12.58,10,Sunny,0,15.59,Autumn
2022-05-31,S001,P0014,Groceries ,South,253,164.0,135,157.08,32.3,15,Sunny,0,27.9,Spring
2023-02-03,S002,P0003,Groceries ,South,481,,176,457.14,34.51,5,Rainy,0,30.05,Autumn
2022-07-27,S004,P0013,Groceries ,South,258,243.0,192,252.66,78.29,10,Snowy,0,78.67,Autumn
2022-07-21,S005,P0003,Groceries ,East,326,252.0,189,246.43,,5,Rainy,0,36.49,Winter
2022-12-30,S004,P0017,Groceries ,East,292,162.0,193,164.61,75.72,20,Cloudy,1,71.31,Spring
2023-08-01,S003,P0010,Clothing,West,225,29.0,197,46.25,14.59,10,Cloudy,1,15.79,Winter
2023-10-22,S004,P0009,Furniture,West,160,74.0,170,90.93,11.45,0,Snowy,0,9.92,Winter
2023-01-12,S005,P0013,Furniture,East,198,68.0,128,77.19,13.1,5,Snowy,1,9.56,Summer
2023-10-13,S004,P0014,Groceries ,North,330,35.0,102,26.29,97.75,10,Sunny,1,94.47,Winter
2022-11-18,S001,P0011,Groceries ,East,344,149.0,38,157.12,,5,Rainy,0,45.21,Winter
17/07/2023,S002,P0012,Clothing,West,65,6.0,23,3.52,50.01,15,Sunny,1,48.04,Autumn
2022-12-15,S002,P0011,TOYS,West,461,102.0,65,102.5,84.04,20,Sunny,0,80.81,Summer
2022-04-22,S002,P0014,Groceries ,West,-150,59.0,39,56.05,64.62,0,Snowy,1,63.15,Spring
2022-08-08,S002,P0016, electronics ,South,313,87.0,189,83.04,55.94,10,Cloudy,0,56.15,Summer
2022-06-15,S002,P0011,Furniture,East,254,155.0,88,168.46,35.35,15,Sunny,0,36.95,Summer
2022-08-24,S005,P0006,TOYS,East,454,447.0,46,464.29,86.27,10,Snowy,1,89.13,Autumn
2022-03-11,S005,P0015,Furniture,West,383,260.0,147,268.17,74.77,15,Cloudy,1,76.96,Winter
2022-11-16,S005,P0019,Furniture,West,323,289.0,68,287.69,77.89,0,Rainy,1,82.71,Summer
2022-06-04,S004,P0001,Clothing,East,239,194.0,148,198.45,64.08,5,Snowy,1,62.06,Winter
2022-07-16,S001,P0019,Clothing,East,237,104.0,22,97.79,84.54,10,Sunny,1,86.24,Summer
2023-07-16,S005,P0016,TOYS,West,384,310.0,184,316.43,94.06,15,Snowy,0,98.52,Autumn
2023-01-24,S004,P0015,Groceries ,East,347,,56,65.33,11.49,20,Cloudy,1,9.7,Spring
2022-03-20,S004,P0014, electronics ,South,137,81.0,56,93.24,,5,Snowy,0,59.23,Autumn
2023-06-30,S003,P0008,Groceries ,North,174,24.0,172,32.35,66.98,5,Cloudy,1,68.45,Winter
2023-03-11,S004,P0012, electronics ,West,190,7.0,161,10.18,17.97,20,Cloudy,0,18.82,Autumn
12/04/2023,S004,P0020,Groceries ,West,265,64.0,192,57.72,81.63,20,Sunny,0,76.91,Summer
2022-07-26,S001,P0011,TOYS,South,352,110.0,142,128.69,11.92,0,Cloudy,1,11.68,Spring
2023-10-04,S004,P0017,TOYS,North,191,16.0,95,17.91,56.92,0,Cloudy,0,60.33,Summer
2022-06-28,S005,P0019, electronics ,East,259,104.0,138,121.16,91.93,5,Sunny,0,91.66,Summer
2023-04-28,S004,P0020,Furniture,East,88,10.0,117,10.99,43.21,20,Rainy,0,38.53,Spring
19/07/2022,S002,P0003,Clothing,East,110,2.0,29,17.57,17.17,0,Snowy,0,18.78,Summer
2023-01-02,S005,P0019, electronics ,North,359,222.0,117,230.73,67.92,20,Snowy,0,68.23,Summer
2023-08-27,S005,P0006,TOYS,South,87,15.0,103,23.07,96.24,10,Snowy,1,92.43,Summer
2023-02-12,S001,P0006,Clothing,West,62,47.0,23,41.6,30.73,20,Cloudy,1,34.2,Autumn
2022-06-20,S005,P0016,TOYS,West,478,391.0,182,389.57,62.35,0,Cloudy,1,61.28,Summer
2023-07-05,S001,P0016, electronics ,North,140,123.0,79,127.94,59.63,10,Cloudy,1,58.93,Autumn
2023-11-20,S004,P0001,Clothing,North,286,128.0,28,134.7,94.94,10,Rainy,1,98.96,Winter
2023-10-26,S003,P0011,Furniture,East,376,372.0,150,384.7,53.9,5,Snowy,0,57.22,Spring
2022-08-14,S004,P0002,TOYS,East,455,266.0,25,284.11,85.51,0,Sunny,0,86.65,Winter
2022-04-12,S002,P0019,TOYS,North,63,25.0,188,15.35,64.7,5,Rainy,0,64.66,Autumn
2022-11-15,S001,P0001,TOYS,South,172,24.0,107,18.85,62.9,20,Rainy,0,63.16,Autumn
2023-07-30,S004,P0004,Furniture,East,389,,117,204.14,76.53,0,Rainy,0,75.37,Spring
2023-12-06,S004,P0009,Clothing,North,444,441.0,199,441.32,42.85,5,Snowy,1,39.65,Spring
29/06/2023,S001,P0009,TOYS,East,368,337.0,158,339.22,11.7,0,Cloudy,1,14.87,Winter
2023-11-01,S001,P0009,Clothing,North,-150,132.0,189,144.37,77.35,15,Cloudy,1,74.87,Spring
12/10/2022,S005,P0018,TOYS,East,291,77.0,23,77.6,30.93,0,Rainy,1,28.35,Winter
2022-01-09,S002,P0012, electronics ,South,201,45.0,141,44.15,51.28,5,Cloudy,0,49.5,Spring
2023-09-05,S005,P0010,Groceries ,West,284,98.0,117,110.0,70.8,0,Cloudy,0,74.36,Summer
2022-07-13,S004,P0014,TOYS,North,207,41.0,59,60.41,71.14,10,Cloudy,0,72.76,Autumn
2023-06-23,S003,P0005,TOYS,North,244,88.0,196,82.15,84.51,15,Snowy,1,81.68,Summer
2023-01-13,S002,P0005,Groceries ,West,266,123.0,51,139.66,17.49,5,Cloudy,0,17.95,Autumn
2023-11-22,S003,P0004,Groceries ,West,300,123.0,134,131.17,,0,Cloudy,0,20.92,Spring
2023-11-05,S004,P0012,Clothing,West,99,66.0,114,76.14,91.37,5,Sunny,1,93.67,Summer
2022-08-24,S002,P0010, electronics ,West,379,318.0,79,315.27,17.89,15,Rainy,1,20.32,Spring
2022-09-01,S004,P0008,Clothing,North,246,65.0,171,73.91,19.47,10,Rainy,0,20.5,Spring
2022-11-21,S005,P0006,TOYS,South,284,219.0,134,232.58,84.49,10,Cloudy,1,87.8,Summer
